episode,global_step,sub_run_index,returns,episode_length
1000,22609,eval_idx09,9.0,9
1050,23825,eval_idx00,9.0,9
1050,23825,eval_idx01,10.0,10
1050,23825,eval_idx02,9.0,9
1050,23825,eval_idx03,10.0,10
1050,23825,eval_idx04,10.0,10
1050,23825,eval_idx05,8.0,8
1050,23825,eval_idx06,9.0,9
1050,23825,eval_idx07,10.0,10
1050,23825,eval_idx08,9.0,9
1050,23825,eval_idx09,9.0,9
1100,24908,eval_idx00,9.0,9
1100,24908,eval_idx01,10.0,10
1100,24908,eval_idx02,9.0,9
1100,24908,eval_idx03,10.0,10
1100,24908,eval_idx04,10.0,10
1100,24908,eval_idx05,8.0,8
1100,24908,eval_idx06,9.0,9
1100,24908,eval_idx07,10.0,10
1100,24908,eval_idx08,9.0,9
1100,24908,eval_idx09,9.0,9
1150,26085,eval_idx00,9.0,9
1150,26085,eval_idx01,10.0,10
1150,26085,eval_idx02,9.0,9
1150,26085,eval_idx03,10.0,10
1150,26085,eval_idx04,10.0,10
1150,26085,eval_idx05,8.0,8
1150,26085,eval_idx06,9.0,9
1150,26085,eval_idx07,10.0,10
1150,26085,eval_idx08,9.0,9
1150,26085,eval_idx09,9.0,9
1200,27216,eval_idx00,9.0,9
1200,27216,eval_idx01,10.0,10
1200,27216,eval_idx02,9.0,9
1200,27216,eval_idx03,10.0,10
1200,27216,eval_idx04,10.0,10
1200,27216,eval_idx05,8.0,8
1200,27216,eval_idx06,9.0,9
1200,27216,eval_idx07,10.0,10
1200,27216,eval_idx08,9.0,9
1200,27216,eval_idx09,9.0,9
1250,28227,eval_idx00,9.0,9
1250,28227,eval_idx01,10.0,10
1250,28227,eval_idx02,9.0,9
1250,28227,eval_idx03,10.0,10
1250,28227,eval_idx04,10.0,10
1250,28227,eval_idx05,8.0,8
1250,28227,eval_idx06,9.0,9
1250,28227,eval_idx07,10.0,10
1250,28227,eval_idx08,9.0,9
1250,28227,eval_idx09,9.0,9
1300,29426,eval_idx00,9.0,9
1300,29426,eval_idx01,10.0,10
1300,29426,eval_idx02,9.0,9
1300,29426,eval_idx03,10.0,10
1300,29426,eval_idx04,10.0,10
1300,29426,eval_idx05,8.0,8
1300,29426,eval_idx06,9.0,9
1300,29426,eval_idx07,10.0,10
1300,29426,eval_idx08,9.0,9
1300,29426,eval_idx09,9.0,9
1350,30505,eval_idx00,9.0,9
1350,30505,eval_idx01,10.0,10
1350,30505,eval_idx02,9.0,9
1350,30505,eval_idx03,10.0,10
1350,30505,eval_idx04,10.0,10
1350,30505,eval_idx05,8.0,8
1350,30505,eval_idx06,9.0,9
1350,30505,eval_idx07,10.0,10
1350,30505,eval_idx08,9.0,9
1350,30505,eval_idx09,9.0,9
1400,31636,eval_idx00,9.0,9
1400,31636,eval_idx01,10.0,10
1400,31636,eval_idx02,9.0,9
1400,31636,eval_idx03,10.0,10
1400,31636,eval_idx04,10.0,10
1400,31636,eval_idx05,8.0,8
1400,31636,eval_idx06,9.0,9
1400,31636,eval_idx07,10.0,10
1400,31636,eval_idx08,9.0,9
1400,31636,eval_idx09,9.0,9
1450,32692,eval_idx00,12.0,12
1450,32692,eval_idx01,15.0,15
1450,32692,eval_idx02,13.0,13
1450,32692,eval_idx03,13.0,13
1450,32692,eval_idx04,13.0,13
1450,32692,eval_idx05,10.0,10
1450,32692,eval_idx06,12.0,12
1450,32692,eval_idx07,15.0,15
1450,32692,eval_idx08,11.0,11
1450,32692,eval_idx09,10.0,10
1500,33761,eval_idx00,19.0,19
1500,33761,eval_idx01,24.0,24
1500,33761,eval_idx02,21.0,21
1500,33761,eval_idx03,20.0,20
1500,33761,eval_idx04,18.0,18
1500,33761,eval_idx05,16.0,16
1500,33761,eval_idx06,19.0,19
1500,33761,eval_idx07,27.0,27
1500,33761,eval_idx08,17.0,17
1500,33761,eval_idx09,15.0,15
1550,35056,eval_idx00,20.0,20
1550,35056,eval_idx01,26.0,26
1550,35056,eval_idx02,22.0,22
1550,35056,eval_idx03,22.0,22
1550,35056,eval_idx04,19.0,19
1550,35056,eval_idx05,16.0,16
1550,35056,eval_idx06,20.0,20
1550,35056,eval_idx07,28.0,28
1550,35056,eval_idx08,17.0,17
1550,35056,eval_idx09,17.0,17
1600,36060,eval_idx00,11.0,11
1600,36060,eval_idx01,9.0,9
1600,36060,eval_idx02,10.0,10
1600,36060,eval_idx03,10.0,10
1600,36060,eval_idx04,11.0,11
1600,36060,eval_idx05,13.0,13
1600,36060,eval_idx06,10.0,10
1600,36060,eval_idx07,9.0,9
1600,36060,eval_idx08,13.0,13
1600,36060,eval_idx09,13.0,13
1650,37238,eval_idx00,10.0,10
1650,37238,eval_idx01,8.0,8
1650,37238,eval_idx02,9.0,9
1650,37238,eval_idx03,9.0,9
1650,37238,eval_idx04,9.0,9
1650,37238,eval_idx05,10.0,10
1650,37238,eval_idx06,9.0,9
1650,37238,eval_idx07,9.0,9
1650,37238,eval_idx08,10.0,10
1650,37238,eval_idx09,10.0,10
1700,38304,eval_idx00,13.0,13
1700,38304,eval_idx01,10.0,10
1700,38304,eval_idx02,12.0,12
1700,38304,eval_idx03,13.0,13
1700,38304,eval_idx04,15.0,15
1700,38304,eval_idx05,19.0,19
1700,38304,eval_idx06,14.0,14
1700,38304,eval_idx07,9.0,9
1700,38304,eval_idx08,19.0,19
1700,38304,eval_idx09,19.0,19
1750,39299,eval_idx00,10.0,10
1750,39299,eval_idx01,8.0,8
1750,39299,eval_idx02,9.0,9
1750,39299,eval_idx03,9.0,9
1750,39299,eval_idx04,9.0,9
1750,39299,eval_idx05,10.0,10
1750,39299,eval_idx06,9.0,9
1750,39299,eval_idx07,9.0,9
1750,39299,eval_idx08,10.0,10
1750,39299,eval_idx09,10.0,10
1800,40408,eval_idx00,10.0,10
1800,40408,eval_idx01,8.0,8
1800,40408,eval_idx02,9.0,9
1800,40408,eval_idx03,9.0,9
1800,40408,eval_idx04,9.0,9
1800,40408,eval_idx05,10.0,10
1800,40408,eval_idx06,9.0,9
1800,40408,eval_idx07,9.0,9
1800,40408,eval_idx08,10.0,10
1800,40408,eval_idx09,10.0,10
1850,41437,eval_idx00,10.0,10
1850,41437,eval_idx01,8.0,8
1850,41437,eval_idx02,9.0,9
1850,41437,eval_idx03,9.0,9
1850,41437,eval_idx04,9.0,9
1850,41437,eval_idx05,10.0,10
1850,41437,eval_idx06,9.0,9
1850,41437,eval_idx07,9.0,9
1850,41437,eval_idx08,10.0,10
1850,41437,eval_idx09,10.0,10
1900,42494,eval_idx00,10.0,10
1900,42494,eval_idx01,8.0,8
1900,42494,eval_idx02,9.0,9
1900,42494,eval_idx03,9.0,9
1900,42494,eval_idx04,9.0,9
1900,42494,eval_idx05,11.0,11
1900,42494,eval_idx06,9.0,9
1900,42494,eval_idx07,9.0,9
1900,42494,eval_idx08,11.0,11
1900,42494,eval_idx09,11.0,11
1950,43545,eval_idx00,10.0,10
1950,43545,eval_idx01,8.0,8
1950,43545,eval_idx02,9.0,9
1950,43545,eval_idx03,9.0,9
1950,43545,eval_idx04,9.0,9
1950,43545,eval_idx05,10.0,10
1950,43545,eval_idx06,9.0,9
1950,43545,eval_idx07,9.0,9
1950,43545,eval_idx08,10.0,10
1950,43545,eval_idx09,10.0,10
2000,44678,eval_idx00,10.0,10
2000,44678,eval_idx01,8.0,8
2000,44678,eval_idx02,9.0,9
2000,44678,eval_idx03,9.0,9
2000,44678,eval_idx04,9.0,9
2000,44678,eval_idx05,10.0,10
2000,44678,eval_idx06,9.0,9
2000,44678,eval_idx07,9.0,9
2000,44678,eval_idx08,10.0,10
2000,44678,eval_idx09,10.0,10
2050,45540,eval_idx00,10.0,10
2050,45540,eval_idx01,8.0,8
2050,45540,eval_idx02,9.0,9
2050,45540,eval_idx03,9.0,9
2050,45540,eval_idx04,9.0,9
2050,45540,eval_idx05,10.0,10
2050,45540,eval_idx06,9.0,9
2050,45540,eval_idx07,9.0,9
2050,45540,eval_idx08,10.0,10
2050,45540,eval_idx09,10.0,10
2100,46580,eval_idx00,10.0,10
2100,46580,eval_idx01,8.0,8
2100,46580,eval_idx02,9.0,9
2100,46580,eval_idx03,9.0,9
2100,46580,eval_idx04,9.0,9
2100,46580,eval_idx05,10.0,10
2100,46580,eval_idx06,9.0,9
2100,46580,eval_idx07,9.0,9
2100,46580,eval_idx08,10.0,10
2100,46580,eval_idx09,10.0,10
2150,47494,eval_idx00,10.0,10
2150,47494,eval_idx01,8.0,8
2150,47494,eval_idx02,9.0,9
2150,47494,eval_idx03,9.0,9
2150,47494,eval_idx04,9.0,9
2150,47494,eval_idx05,10.0,10
2150,47494,eval_idx06,9.0,9
2150,47494,eval_idx07,9.0,9
2150,47494,eval_idx08,10.0,10
2150,47494,eval_idx09,10.0,10
2200,48597,eval_idx00,10.0,10
2200,48597,eval_idx01,8.0,8
2200,48597,eval_idx02,9.0,9
2200,48597,eval_idx03,9.0,9
2200,48597,eval_idx04,9.0,9
2200,48597,eval_idx05,10.0,10
2200,48597,eval_idx06,9.0,9
2200,48597,eval_idx07,9.0,9
2200,48597,eval_idx08,10.0,10
2200,48597,eval_idx09,10.0,10
2250,49647,eval_idx00,10.0,10
2250,49647,eval_idx01,8.0,8
2250,49647,eval_idx02,9.0,9
2250,49647,eval_idx03,9.0,9
2250,49647,eval_idx04,9.0,9
2250,49647,eval_idx05,10.0,10
2250,49647,eval_idx06,9.0,9
2250,49647,eval_idx07,9.0,9
2250,49647,eval_idx08,10.0,10
2250,49647,eval_idx09,10.0,10
2300,50567,eval_idx00,10.0,10
2300,50567,eval_idx01,8.0,8
2300,50567,eval_idx02,9.0,9
2300,50567,eval_idx03,9.0,9
2300,50567,eval_idx04,9.0,9
2300,50567,eval_idx05,10.0,10
2300,50567,eval_idx06,9.0,9
2300,50567,eval_idx07,9.0,9
2300,50567,eval_idx08,10.0,10
2300,50567,eval_idx09,10.0,10
2350,51667,eval_idx00,10.0,10
2350,51667,eval_idx01,8.0,8
2350,51667,eval_idx02,9.0,9
2350,51667,eval_idx03,9.0,9
2350,51667,eval_idx04,10.0,10
2350,51667,eval_idx05,12.0,12
2350,51667,eval_idx06,9.0,9
2350,51667,eval_idx07,9.0,9
2350,51667,eval_idx08,15.0,15
2350,51667,eval_idx09,11.0,11
2400,52807,eval_idx00,10.0,10
2400,52807,eval_idx01,8.0,8
2400,52807,eval_idx02,9.0,9
2400,52807,eval_idx03,9.0,9
2400,52807,eval_idx04,9.0,9
2400,52807,eval_idx05,10.0,10
2400,52807,eval_idx06,9.0,9
2400,52807,eval_idx07,9.0,9
2400,52807,eval_idx08,10.0,10
2400,52807,eval_idx09,10.0,10
2450,53830,eval_idx00,31.0,31
2450,53830,eval_idx01,19.0,19
